ASV	s.Ambulatory treatment	s.Hospitalized	index	stat	p.value	Domain	Phylum	Class	Order	Family	Genus	Species
e108eca1d7b53d6c57f001733e95bcaa	1	0	1	0.3630012764423904	0.005	d__Bacteria	p__Campilobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter_ureolyticus
0e342bd96daa4337d01ea329ce1454a1	0	1	2	0.3559853150088522	0.005	d__Bacteria	p__Campilobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter_gracilis
7b8cfb201160d0d444163940985c4be6	0	1	2	0.31061123131091883	0.02	d__Bacteria	p__Campilobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter_gracilis
f8f7fc158ce756a8b33c828d42f86b7f	1	0	1	0.3546015868035159	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Luteibacter	NA
89be284c0933e9d6e92c923becfa5885	1	0	1	0.3402785236893603	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Pseudoxanthomonas	s__Pseudoxanthomonas_mexicana
99725e6dc68ca0c59c739fee6a4a5b98	1	0	1	0.7102934189430675	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	NA
858e350859bdbb5d39f3c85d716f1538	0	1	2	0.2567215541798445	0.045	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria	s__Neisseria_oralis
4000ebdc6af776982f904871c94c1c17	1	0	1	0.43201092123979307	0.01	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__uncultured	s__uncultured_bacterium
f3e2b6353b8dab6fd9b10d15f15adf0a	1	0	1	0.2695105809685975	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__uncultured	NA
74bf69a029fbbb35dcaa2184d5413138	1	0	1	0.30779350562554625	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Azospira	NA
c470fb1c90fed748fbeda935678cef88	1	0	1	0.5855331441598639	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Variovorax	NA
6e5e9b638505d4d37a9592ddc58f4b50	1	0	1	0.21873670248910182	0.03	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Delftia	NA
e9960469cf50709d9b20b470ebd1d4c7	1	0	1	0.320193641274067	0.02	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Ralstonia	NA
d0a856b22ee241c64b0444d6717e06b2	1	0	1	0.20519567041703082	0.02	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Noviherbaspirillum	NA
09e9d37ee390dfaa3953e7d336ef8c67	1	0	1	0.20519567041703082	0.045	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Massilia	NA
d238f48ec165d5767a47a801aba014dd	1	0	1	0.373119168142896	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	NA	NA
86d100c220c785ec19824b9c0468f99f	1	0	1	0.6740753875469743	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Achromobacter	NA
827d8e5cd698ca0e4be3255c38b0f774	1	0	1	0.5291401642145352	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Alcaligenes	NA
b235aa72a9e89d90ce69e6f6de7f784b	1	0	1	0.3416800218427249	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobacter_sanguinis
738498b661b319a0a17aa56be5240799	1	0	1	0.6245457005506595	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Enhydrobacter	NA
906b303d8c1b412b57fe0ba7ea35bb17	1	0	1	0.5231015404426866	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	NA
3315deec7480d36502dc0311594b01c7	1	0	1	0.41260126708142014	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter_lwoffii
c7cfc4dd7352b68faa5324d3ca4abfbd	1	0	1	0.5260751611536015	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter_baumannii
1273f2fbe6e36424ee5dfaa6fb99378c	1	0	1	0.3824515890604495	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	NA
1fc6668c209267b990c497e809cf6bc6	1	0	1	0.5331139899831832	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	NA
29db55fe23b06779cfe912e17eeabd3d	1	0	1	0.2513123449750173	0.015	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	NA
2a4cb7bfbe0e5f42a869107ab7a83d25	1	0	1	0.8815562541606774	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia-Shigella	NA
bf411ff113fa3a86b04836f91ff34b01	1	0	1	0.7486785301267533	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Yersiniaceae	NA	NA
d5560d8c422fd9d366844206f57600ed	1	0	1	0.27144835701531844	0.01	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	NA
0c8c5ac6fc31e91571b5622aab7bbdfa	1	0	1	0.435285750066007	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_stutzeri
01757d660907b2e42d89446bc40fc1eb	1	0	1	0.5521089511290715	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	NA
5c335a745576f1d7448e61d97058ee0a	1	0	1	0.33934055792052165	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	NA
61b182822596371f6a23e2c809c198f7	1	0	1	0.22941573387056177	0.025	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	NA
faa0db74069ab29b7770e968ef30fd80	1	0	1	0.22941573387056177	0.02	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	NA
8de267e7228dfc44549f0d7028da3004	1	0	1	0.5893796917545019	0.005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Azospirillales	f__Azospirillaceae	g__Azospirillum	NA
3f63cb97844f5677c45a2696b10b7514	1	0	1	0.20519567041703082	0.03	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Roseococcus	NA
