ASV	s.Ambulatory treatment	s.Hospitalized	index	stat	p.value	Domain	Phylum	Class	Order	Family	Genus	Species
f8f7fc158ce756a8b33c828d42f86b7f	1	0	1	0.39651979980304436	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Luteibacter	NA
89be284c0933e9d6e92c923becfa5885	1	0	1	0.3402785236893603	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Pseudoxanthomonas	NA
4000ebdc6af776982f904871c94c1c17	1	0	1	0.6171010424212046	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__uncultured	NA
74bf69a029fbbb35dcaa2184d5413138	1	0	1	0.30779350562554625	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Azospira	NA
033eafda4eb0e4f1b342c52d2f82430e	1	0	1	0.27144835701531844	0.015	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia-Caballeronia-Paraburkholderia	NA
c470fb1c90fed748fbeda935678cef88	1	0	1	0.5855331441598639	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Variovorax	NA
6e5e9b638505d4d37a9592ddc58f4b50	1	0	1	0.21873670248910182	0.02	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Delftia	NA
e9960469cf50709d9b20b470ebd1d4c7	1	0	1	0.320193641274067	0.01	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Ralstonia	NA
d0a856b22ee241c64b0444d6717e06b2	1	0	1	0.20519567041703082	0.025	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Noviherbaspirillum	NA
a90c9de5c11689f215978a030c059d11	1	0	1	0.3821075659424508	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Massilia	NA
d238f48ec165d5767a47a801aba014dd	1	0	1	0.373119168142896	0.01	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	NA	NA
86d100c220c785ec19824b9c0468f99f	1	0	1	0.6740753875469743	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Achromobacter	NA
827d8e5cd698ca0e4be3255c38b0f774	1	0	1	0.5488670526265486	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Alcaligenes	NA
b235aa72a9e89d90ce69e6f6de7f784b	1	0	1	0.3670982976096101	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	NA
738498b661b319a0a17aa56be5240799	1	0	1	0.6245457005506595	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Enhydrobacter	NA
96dd864b84f3d7529157acc40bbed645	1	0	1	0.22941573387056177	0.01	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Alkanindiges	NA
906b303d8c1b412b57fe0ba7ea35bb17	1	0	1	0.8655837839005636	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	NA
29db55fe23b06779cfe912e17eeabd3d	1	0	1	0.2513123449750173	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	NA
2a4cb7bfbe0e5f42a869107ab7a83d25	1	0	1	0.8815562541606774	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia-Shigella	NA
8952a1b9377a2559e67946282ca0b28d	1	0	1	0.4054237253919408	0.035	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	NA	NA
bf411ff113fa3a86b04836f91ff34b01	1	0	1	0.7486785301267533	0.005	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Yersiniaceae	NA	NA
